,20_categories of 2 act_relu,20_categories of 2 baseline,20_categories of 2 bn_no,20_categories of 2 dropout_025,20_categories of 2 dropout_075,20_categories of 2 dropout_0,20_categories of 2 ds_11_31,20_categories of 2 filters_128,20_categories of 2 filters_32,20_categories of 2 filter_3_3,20_categories of 2 filter_7_3,20_categories of 2 layers_2,20_categories of 2 layers_4,20_categories of 2 maxpool_2_2,20_categories of 3 Three_cates,60_categories of 2 baseline
2012-11-30,3.341062843162939,3.3038498305017305,5.402141597190268,3.66758895787798,11.984649300837177,4.359563718047301,3.636042134325909,5.540058883296528,6.625191271653312,6.72463989240142,6.188511813305659,4.337715554801466,4.0981967391700405,6.360006813942686,3.035270697465517,3.946823019231304
2012-12-31,3.5797402075496643,3.5444023533978,5.856199516813399,3.928465543318179,13.29984809920319,4.706675505021415,3.8928650311397774,6.002031308439838,7.309655259990788,7.314239190542553,6.709951561777871,4.670520693963812,4.402537946708538,6.90632622575638,3.2486551094968785,
2013-01-31,3.6150088999890064,3.578366566710859,5.922556572076939,3.962963687602651,13.392670186560965,4.738677979018681,3.9303665395449223,6.045931899400462,7.318095149346535,7.405478948672595,6.753557227773498,4.7011572933072925,4.455973375607669,6.953508968687751,3.27777024528586,4.118322030230971
2013-02-28,3.753566927143265,3.720631672893733,6.17205887096836,4.118672778194199,13.960779114600689,4.923098099302194,4.098912589496393,6.277676731912551,7.551422640807204,7.710276418477675,7.0474254179853135,4.918802682538168,4.635162047349033,7.189657619752245,3.4050417735639784,
2013-03-28,3.7150199049370394,3.679486207288471,6.09086222441192,4.072965888983158,13.85284471763978,4.875301603268345,4.037413168863805,6.209336489265263,7.426298141618356,7.612870284673663,6.945914902756098,4.868206435689079,4.58694371625862,7.075421849340001,3.3759292912494128,4.081014160660895
2013-04-30,3.817099635716752,3.777420125947335,6.240746814737686,4.180587384533635,14.06960907260981,5.003359540301455,4.105515563613052,6.352983314712385,7.60075136399693,7.875604678112533,7.096855823831333,4.982207287682771,4.684038407383717,7.202019966743318,3.471106091356377,
2013-05-31,3.778496384277569,3.738212423331545,6.1591222348872,4.133533764417485,13.83120641332113,4.939029880583506,4.079467284209708,6.269687604733185,7.4896059551467395,7.766974222143532,7.009602859186596,4.940195033082171,4.631510494033092,7.1079470772276805,3.437693238745772,4.183851104914298
2013-06-28,3.994456483348378,3.9460003665907415,6.5506256605328765,4.379549622055528,14.807988107175966,5.245867581821563,4.307047172266808,6.65366617292263,8.063574224380535,8.25840753183726,7.491364945798994,5.215306651453955,4.913863148502823,7.526100059387321,3.6341216723007146,
2013-07-31,3.9184555717551457,3.869372192902073,6.373586757756795,4.291566671915189,14.457273965204982,5.151178611935101,4.2311243762028905,6.508738653563054,7.977093741429889,8.076840424678775,7.3348328232476865,5.105121251264506,4.827674237409458,7.367730668816259,3.568550422041543,4.476171058245378
2013-08-30,4.118273816929909,4.069456311324348,6.682122799877283,4.506300655188026,15.171851030960871,5.420770914416301,4.449711230119353,6.824021226145531,8.354854864884537,8.533286531877357,7.7418316950347315,5.350092119798644,5.073792447489444,7.694810579378509,3.757888136082742,
2013-09-30,4.2835640827502495,4.229995733696828,6.95014805109796,4.676108370959968,15.652474336492403,5.637997610769912,4.62726140989766,7.078484059158179,8.765647761576794,8.82589032233916,8.06214563167547,5.559153736502979,5.27485564074458,7.992846351032268,3.903753968719655,4.808158715017058
2013-10-31,4.393046955441506,4.339080836833233,7.108682116537997,4.799454553690784,16.158985229354872,5.794001882297499,4.745051318642181,7.268729846607623,9.077830980567237,9.070096324595522,8.270301705500097,5.708035950196468,5.386235337818665,8.197649822127325,4.00901076975092,
2013-11-29,4.489671878672585,4.437141236722155,7.254017166569333,4.907553540864025,16.260885037171324,5.927527802409122,4.843754039566976,7.42403979139528,9.316507094565557,9.221715953023327,8.406330116955344,5.822832752847127,5.503710554301259,8.351307294181803,4.094436535527076,5.044794422019424
2013-12-31,4.490171465853071,4.437955387771627,7.256990246866099,4.920230630284411,16.351403781555973,5.940487683741425,4.841029547583123,7.437406911188934,9.223330613994772,9.309707566160496,8.447102190318171,5.862773046566101,5.510919712025943,8.504814491666124,4.119857939424348,
2014-01-31,4.679449822410315,4.625862269027843,7.556017582106754,5.119617918952162,17.025369911618316,6.182677578655855,5.0239476534042495,7.747070882303373,9.565791614289212,9.669702911104228,8.782243435717769,6.090018529755506,5.713605098045665,8.842222576928451,4.289094028580647,5.206447936400307
2014-02-28,4.623503108297709,4.571911224245116,7.467387040032981,5.054278323206199,16.960535905296247,6.108662959797276,4.965178752354938,7.653167937086163,9.52169830657328,9.545735150872678,8.713858333459928,6.036799879824942,5.653790161309081,8.75246298265039,4.243129551236912,
2014-03-31,4.526565407568115,4.473828269836689,7.355529686093223,4.956218426360328,16.692280746515813,5.99806598919521,4.873241350352395,7.539334143409006,9.396535313669744,9.323344103872016,8.544233202822298,5.952112169926401,5.555776585287588,8.531496990979438,4.159734834511489,5.387024065217521
2014-04-30,4.579037670023759,4.523811912962207,7.466800524723812,5.005288100615364,16.92486953200582,6.074653431669561,4.916191998421558,7.6442414769827955,9.536367496863583,9.456867496172322,8.67318409530414,6.009868711490724,5.6247788617036845,8.656671669763986,4.20516343926205,
2014-05-30,4.766417501560202,4.711313011681315,7.774609359942384,5.205981347873353,17.706816168034607,6.326840864093927,5.104785025517338,7.960322071851724,10.19420468976172,9.873056975918992,8.999211404220588,6.252973390818518,5.826917669182458,9.002496994562964,4.372046304934179,5.592193280395106
2014-06-30,4.6480776244028,4.593207970654829,7.610050845679432,5.079557412722818,17.643127286149667,6.170547546888067,4.9648620189790655,7.80595576920576,10.007057939188938,9.742386460231064,8.822417109490384,6.125685646440618,5.699992003953966,8.833874016680248,4.267863534491366,
2014-07-31,4.802796553552144,4.749549859337235,7.878294572285238,5.251150197851104,18.319237222993763,6.384856220109387,5.127215793265313,8.080909865244731,10.372472754756046,10.097370106961518,9.138222539660134,6.327151740705373,5.884554410331533,9.148916595603149,4.405002258189155,5.540623563000544
2014-08-29,4.61888186900701,4.56613718121987,7.594130816826155,5.048768995462926,17.22588018289854,6.124927612841574,4.952810253272835,7.77935894636787,9.94744577009261,9.668588581002188,8.815658493823962,6.109527268201708,5.661851320158614,8.787808209200042,4.229297741519769,
2014-09-30,4.677791073235293,4.625491113521291,7.737180830712501,5.1096134303539404,17.367190720735564,6.2178931138946405,4.992665496781425,7.916486555564902,10.04934690930315,9.866569462814516,8.949614711138135,6.174545534281708,5.735966405034516,8.904851317767374,4.281863673727471,5.750494337209903
2014-10-31,4.596618699826037,4.545148383014453,7.624413535322998,5.0173004718442415,16.75539349241557,6.0994021825197215,4.893146801493749,7.713558917370428,9.816598467657473,9.547532683334229,8.80954855980778,6.107754531149788,5.669139880635663,8.666861086937491,4.206420316011954,
2014-11-28,4.609285677378689,4.556300869398017,7.633831555556421,5.033243475205171,15.740309575446656,6.116712849212752,4.883588881991714,7.656355551678677,9.457084197898062,9.366601459187168,8.664966646398295,6.122774597187107,5.615796752809024,8.567493514541436,4.229882405896984,5.85533266207741
2014-12-31,4.50014630445926,4.45037638336353,7.462481710157181,4.9263940372951245,15.687781923093931,5.984710381275703,4.748256468905813,7.449584228690094,9.197674733261271,9.072282793778324,8.495059643038203,5.95185903937804,5.465859458883957,8.38480860783229,4.129595500603747,
2015-01-30,4.771338882578311,4.71569903184152,7.870161337954944,5.2109237909957455,16.767968934336178,6.333286158109935,4.984393803031563,7.854640311552829,9.871205820845304,9.647530806265149,8.976857945233867,6.324322422246262,5.734839383051833,8.843149327090694,4.380422090341768,6.271178761414436
2015-02-27,4.732311162564556,4.67855953737112,7.821492239823493,5.16734730921368,16.594497808824787,6.304175498569243,4.969951875984825,7.789020993220602,9.72907156580338,9.563844637065726,8.912821942907591,6.293066689664498,5.695620103535258,8.767206506747398,4.3544771512741,
2015-03-31,4.834834264048792,4.779066827342711,8.025222003332246,5.265705066911269,17.17064235461927,6.428610326500137,5.058299103572704,7.92723017025201,9.94354186102036,9.845732755545844,9.168293068659564,6.4801141757232426,5.853901643437721,8.97168033812142,4.459308808870321,6.459843951505063
2015-04-30,4.862060351988823,4.8076440140942704,8.054328494216646,5.301965991234421,17.316622235701782,6.459690070415804,5.071563944773575,7.998146929959979,10.043956543345857,9.948654373507429,9.251516334050176,6.511103476740284,5.901504214713407,9.054059108862086,4.472129268489733,
2015-05-29,4.911307573082833,4.852064098238259,8.13938280748954,5.3587016470440565,17.194567915466756,6.52264845032043,5.139641754257389,8.105197591787839,9.987934091206316,10.02217878852572,9.345734209383156,6.584820872668625,5.945064180948919,9.113560078148335,4.505912060414764,5.694152726103479
2015-06-30,4.79531185544047,4.740383333964442,7.961208882680947,5.232747402863131,16.663239546487006,6.399347077507523,5.05195262775237,7.958144482177743,9.779536633002294,9.735541027266924,9.134515706750408,6.416371987371481,5.805922394078995,8.940014071422636,4.384227592517107,
2015-07-31,4.54553919497705,4.498384243077605,7.52237227540681,4.967451192584894,16.40284831606608,6.128933827277502,4.8028873052797545,7.569619559490161,9.82463484230717,9.260461026759552,8.76706752420839,6.114936555207192,5.511273597620878,8.5364247083273,4.172143044214996,5.418619665911768
2015-08-31,4.254265229554407,4.203912643821792,7.065372339139595,4.658457282317955,15.382500063731058,5.725059093899971,4.522145829242794,7.085207531547854,9.253209746206975,8.741391152460164,8.25736879968931,5.704300089697687,5.155844240126788,7.933314295068161,3.894985138527155,
